iso3,year,literacy_rate
EAR,2006,71.3000030517578
EAR,2005,71.2900009155273
EAR,2004,71.2799987792969
EAR,2003,70.6100006103516
EAR,2002,69.6699981689453
EAR,2001,69.0100021362305
EAR,2000,68.4400024414062
EAR,1999,67.6900024414062
EAR,1998,66.9899978637695
EAR,1997,63.9900016784668
EAR,1996,63.2400016784668
EAR,1995,62.4799995422363
EAR,1994,61.6199989318848
EAR,1993,60.8199996948242
EAR,1992,59.9799995422363
EAR,1991,59.1199989318848
EAR,1990,58.4199981689453
EAR,1989,57.560001373291
EAR,1988,56.8699989318848
EAR,1987,56.1699981689453
EAR,1986,55.3199996948242
EAR,1985,54.689998626709
EAR,1984,54.060001373291
EAR,1983,53.25
EAR,1982,52.6399993896484
EAR,1981,52.0099983215332
EAR,1980,51.4099998474121
EAR,1979,50.810001373291
EAR,1978,50.2200012207031
EAR,1977,49.5800018310547
EAR,1976,48.9599990844727
EAR,1975,48.7299995422363
EAS,2024,96.6100006103516
