iso3,year,intentional_homicides
DEU,2015,0.83092148321361
DEU,2014,0.87986543465844
DEU,2013,0.841543300830081
DEU,2012,0.814420905242925
DEU,2011,0.91271260058552
DEU,2010,0.981060169496516
DEU,2009,0.992150728625981
DEU,2008,1.02452477446076
DEU,2007,1.09227050411144
DEU,2006,1.20927315205162
DEU,2005,1.27244558514126
DEU,2004,1.3545661001062
DEU,2003,1.33598638063576
DEU,2002,1.42807834640079
DEU,2001,1.44140608883251
DEU,2000,1.66753754956225
DEU,1999,1.62344247009
DEU,1998,1.95337413007635
DEU,1997,2.1847407558703
DEU,1996,2.33761906350592
DEU,1995,2.47744783321797
DEU,1994,2.38340932371506
DEU,1993,1.65425621686023
DEU,1992,1.43077958781143
DEU,1991,1.40343106642978
DEU,1990,1.16801384915652
GHA,2022,1.83111773115644
GHA,2021,1.85431966533681
GHA,2020,1.74047705817606
GHA,2019,1.82667713193775
GHA,2018,1.63198244300232
GHA,2017,2.02943487003652
GHA,2016,1.87009855981462
GHA,2015,1.82951897503029
GHA,2014,1.93640928203346
GHA,2013,2.01196278014916
GHA,2012,2.09468981730321
GHA,2011,1.62099472513754
GHA,2010,1.65652636352875
GHA,2009,1.71743458952278
GHA,2008,1.77319982485734
GHA,2007,1.68765456155898
GHA,2006,1.78813996205498
GHA,2005,1.75060061637178
GHA,2004,2.06691897101457
GHA,2003,2.04726505813928
GHA,2002,1.93445170691966
GHA,2001,2.14706465642242
GIB,2010,3.20020481310804
GRC,2023,0.839605274224601
GRC,2022,1.12365161805833
GRC,2021,0.841244735958326
GRC,2020,0.72901495405944
GRC,2019,0.727708640014711
GRC,2018,0.922574259889262
GRC,2017,0.799737128265793
GRC,2016,0.779545903374914
GRC,2015,0.859447721666469
GRC,2014,0.982267185579143
GRC,2013,1.39502562128674
GRC,2012,1.50249393628294
GRC,2011,1.65633803374762
GRC,2010,1.58206940071031
GRC,2009,1.36837464729468
GRC,2008,1.30000599447209
GRC,2007,1.17692468944918
GRC,2006,0.99853818548455
GRC,2005,1.20203980691416
GRC,2004,1.01394257823949
GRC,2002,0.863154597737589
GRC,2001,1.21735690880249
GRC,1999,1.44482396707554
GRC,1998,1.6486487777658
GRC,1997,1.91106937511326
GRC,1996,1.59885261038705
GRC,1995,1.43546567005422
GRC,1994,1.27075007073922
GRC,1993,1.44054157448601
GRC,1992,1.32240728899315
GRC,1991,1.33894214256357
GRC,1990,1.01379472430973
GRL,2016,5.35131374752502
GRL,2015,7.14017957551632
GRL,2014,7.12085877556833
GRL,2013,12.3865305327978
GRL,2012,14.0899644228398
GRL,2011,1.75949467312988
GRL,2010,19.4296514143903
