iso3,year,asylum_seekers
BIH,2018,1003
BIH,2017,223
BIH,2016,51
BIH,2015,20
BIH,2014,7
BIH,2013,34
BIH,2012,31
BIH,2011,32
BIH,2010,149
BIH,2009,350
BIH,2008,471
BIH,2007,616
BIH,2006,91
BIH,2005,210
BIH,2004,456
BIH,2003,695
BIH,2002,453
BIH,2001,382
BIH,2000,73
BWA,2025,21
BWA,2024,7
BWA,2023,97
BWA,2022,97
BWA,2021,58
BWA,2020,422
BWA,2019,150
BWA,2018,268
BWA,2017,65
BWA,2016,78
BWA,2015,133
BWA,2014,195
BWA,2013,173
BWA,2012,212
BWA,2011,244
BWA,2010,251
BWA,2009,202
BWA,2008,181
BWA,2007,5
BWA,2006,0
BWA,2005,52
BWA,2004,1030
BWA,2003,1075
BWA,2002,974
BWA,2001,716
BWA,2000,65
BRA,2025,119651
BRA,2024,74018
BRA,2023,68101
BRA,2022,206764
BRA,2021,199233
BRA,2020,202661
BRA,2019,207294
BRA,2018,152670
BRA,2017,85739
BRA,2016,35451
BRA,2015,20798
BRA,2014,11200
BRA,2013,4626
BRA,2012,1425
BRA,2011,4644
BRA,2010,852
BRA,2009,162
BRA,2008,496
BRA,2007,404
BRA,2006,374
BRA,2005,176
BRA,2004,424
BRA,2003,551
BRA,2002,549
BRA,2001,642
BRA,2000,528
VGB,2025,26
VGB,2024,36
BGR,2025,1317
BGR,2024,5981
BGR,2023,11941
BGR,2022,11165
BGR,2021,7547
BGR,2020,1938
BGR,2019,1054
BGR,2018,1560
BGR,2017,2712
BGR,2016,16030
BGR,2015,9488
BGR,2014,6735
BGR,2013,4539
BGR,2012,1270
BGR,2011,1381
BGR,2010,1392
BGR,2009,1175
BGR,2008,1060
BGR,2007,1002
BGR,2006,839
BGR,2005,787
BGR,2004,899
BGR,2003,736
BGR,2002,1118
BGR,2001,1534
BGR,2000,1304
BFA,2025,1957
BFA,2024,1493
BFA,2023,1146
BFA,2022,551
BFA,2021,9413
BFA,2020,30
BFA,2019,29
BFA,2018,40
BFA,2017,43
BFA,2016,126
BFA,2015,141
BFA,2014,201
BFA,2013,786
BFA,2012,684
BFA,2011,667
BFA,2010,531
BFA,2009,512
BFA,2008,608
BFA,2007,601
BFA,2006,760
BFA,2005,774
BFA,2004,515
BFA,2003,491
BFA,2002,371
BFA,2001,250
BFA,2000,309
BDI,2025,1466
BDI,2024,2089
BDI,2023,2270
BDI,2022,3950
BDI,2021,4297
BDI,2020,4914
BDI,2019,8995
BDI,2018,5658
BDI,2017,3551
BDI,2016,3608
BDI,2015,2930
BDI,2014,3046
BDI,2013,6046
BDI,2012,6129
BDI,2011,10054
BDI,2010,12059
BDI,2009,6337
BDI,2008,5269
BDI,2007,7528
BDI,2006,7139
BDI,2005,19898
BDI,2004,10705
BDI,2003,10565
BDI,2002,8770
BDI,2001,7990
BDI,2000,6014
CPV,2025,0
CPV,2024,0
CPV,2023,0
CPV,2022,0
CPV,2021,0
CPV,2020,0
KHM,2025,5
KHM,2024,5
KHM,2023,5
KHM,2022,12
KHM,2021,12
KHM,2020,12
KHM,2019,27
KHM,2018,0
KHM,2017,44
KHM,2016,170
KHM,2015,24
KHM,2014,38
KHM,2013,6
